model,transformation,train_time_seconds,train_pred_time_seconds,test_pred_time_seconds,inference_energy_per_sample_joules,n_train_samples,n_test_samples,n_features,train_r2,train_rmse,train_mae,train_mape,train_max_error,train_median_ae,train_explained_var,train_residual_mean,train_residual_std,train_residual_skewness,train_residual_kurtosis,test_r2,test_rmse,test_mae,test_mape,test_max_error,test_median_ae,test_explained_var,test_residual_mean,test_residual_std,test_residual_skewness,test_residual_kurtosis,train_adj_r2,test_adj_r2,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_r2_min,cv_r2_max,train_test_r2_gap,train_test_rmse_ratio
Random Forest,sqrt,0.4738287925720215,0.06910419464111328,0.05897212028503418,0.2471552,6686,1672,33,0.6128363699242498,0.7140440123531646,0.1104386291164726,85.56371194476155,23.92119900788831,0.017851729159178445,0.6128401725534962,-0.0022377918981036286,0.714040505759181,21.2409724701126,648.2299347821962,0.4660040485120793,0.8937064738614786,0.13590510019659502,88.76077363060955,25.5005357371455,0.020284186921921316,0.4661979690398541,0.017030908431706963,0.8935441844586693,19.034849970159417,484.1422606972772,0.6109156844473256,0.45524588831726776,0.5883830648589303,0.09921162496758351,0.7326518591310336,0.17608384226150695,0.1204422339144107,0.012600543636686563,0.48421521060516926,0.7663544177587451,0.1468323214121705,1.2516125872844546
Extra Trees,sqrt,0.4798705577850342,0.06899166107177734,0.05613541603088379,0.235229,6686,1672,33,0.5607455302993742,0.7605640610400795,0.13601487789684322,107.43018822444093,24.65531993737198,0.03127689785877241,0.5607477246582191,-0.0016999319240984286,0.7605621612841589,20.98597662430114,593.8979520728886,0.4527711219964229,0.904712155644025,0.15544427942967473,108.54427960131281,25.510879082649723,0.03220603064507707,0.4529170638960818,0.014774606372989928,0.9045915075748732,18.94039670307707,463.37051998354696,0.5585664266463195,0.44174636438096626,0.5513361436271607,0.10356778968552995,0.7650224923575684,0.1801622232318809,0.1433563880244871,0.014855160660318374,0.44539432088390774,0.7390249782619088,0.10797440830295135,1.1895278805152438
KNN,sqrt,0.006563663482666016,0.07787609100341797,0.030385732650756836,0.0177124,6686,1672,33,0.5247232015495045,0.791135753867353,0.12254162631600023,57.76127035950472,24.893302479449947,0.0066225336312436996,0.5250287534010951,-0.020059502834254443,0.7908814053910406,15.881688161604355,490.3950004525142,0.4068611401601705,0.9418985117833676,0.15651885607476296,59.47397410949038,25.53704986828843,0.007352206333445332,0.40713874603247124,-0.020377000027076313,0.9416780683278225,14.969354335902544,389.7793564786555,0.5223653942210519,0.39491145617072343,0.4958744476765154,0.12333967649842614,0.8095583358649355,0.18765906823887327,0.13474942780997023,0.025369391280458377,0.32789516988229406,0.7018225019033117,0.11786206138933397,1.1905649656964383
Ridge,sqrt,0.011857271194458008,0.005936622619628906,0.0043108463287353516,0.0119384,6686,1672,33,0.18121955226953468,1.0383922467151045,0.4018560827407637,170.39492505964057,25.380425229079197,0.23926745302457222,0.18121955226953468,-5.845026991744767e-18,1.0383922467151045,12.156068953714694,237.37121224314384,0.1180147239934779,1.1485676743622795,0.433255677209516,169.93883037686956,27.14198019533033,0.24545538474634485,0.11801473040957933,-9.796287579652629e-05,1.1485676701845868,12.028788025798205,226.57728407392372,0.17715765287460006,0.10024578986147836,0.16985184293274772,0.04968672225804718,1.0361686673203798,0.15340442327119228,0.4057735068031591,0.01848575875346324,0.10307265070946325,0.2544727668359492,0.06320482827605678,1.106101935838888
Bayesian Ridge,sqrt,0.09931421279907227,0.010428905487060547,0.006514310836791992,0.0120362,6686,1672,33,0.18065959780930363,1.0387472582407666,0.3984469211160018,170.36013343086475,25.355806051786075,0.23587876289200987,0.18065959780930363,-3.081923322919968e-17,1.0387472582407666,12.223076329154008,238.26140931001004,0.12004999784515369,1.147241688560924,0.42869825992187055,170.3472412744656,27.183397737652992,0.24583260178719285,0.12005466464282621,0.0026420157847763743,1.1472386463699318,12.143270817449155,228.8970300233757,0.17659492052844183,0.10232206739881067,0.1717326143029137,0.04844960359238411,1.0350810786543743,0.15366919519524072,0.40122505451721285,0.01817355474412738,0.11096596241422696,0.2567566850707992,0.06060959996414994,1.1044473805817403
AdaBoost,sqrt,0.7639203071594238,0.0207061767578125,0.009052276611328125,0.033178400000000004,6686,1672,33,0.4435317277866935,0.8560475898270133,0.2002893238702324,133.70253742644576,19.400669916602073,0.04538194569230782,0.4526634406046519,-0.10966141049557443,0.8489946119362358,-1.0508311947523614,125.80044303523559,0.04119468678200966,1.1975430584140356,0.2476559854848523,133.7691235362616,25.517867094537817,0.045371205878589706,0.0480041478753348,-0.10092117380353614,1.1932829896691557,4.617987132860147,182.80684134004085,0.44077113653849154,0.021878096222672894,0.25144208672090296,0.1423437834401824,0.9732593466031062,0.11932543695527341,0.18349728898162576,0.027208897080446503,0.014765534743837239,0.41642029306561956,0.4023370410046838,1.3989211260043828
Decision Tree,sqrt,0.04502415657043457,0.004686832427978516,0.002258777618408203,0.0157104,6686,1672,33,0.5787225881138724,0.7448379428403651,0.12284176653996401,92.3865847094245,23.431234519953016,0.012711395889414666,0.5787225881138724,-4.3572019393006445e-17,0.7448379428403651,17.124788507552125,507.75206471489895,0.3952542401929948,0.9510696822948761,0.15767383665810752,93.53119476590444,25.555000399707342,0.012716202432935558,0.39537342576981194,0.013351737120394705,0.9509759574754476,15.802815459269185,392.43555553594734,0.5766326670988029,0.3830707175595204,0.5222436406206608,0.08209189806530912,0.7856508470317294,0.14148435872625356,0.12887727911005434,0.006513715378046651,0.42467554118523976,0.668217161661743,0.18346834792087763,1.2768813556145902
Lasso,sqrt,0.05800819396972656,0.003386974334716797,0.00418853759765625,0.0126344,6686,1672,33,0.18070638844712206,1.0387175975890122,0.3972833881198285,169.9269596217065,25.36765194428855,0.23641378927750675,0.18070638844712206,-2.7099670598089372e-17,1.0387175975890122,12.225244288608238,238.30627231917734,0.12030886961102671,1.147072923104372,0.42791355170754225,169.96370965076227,27.16143316388395,0.24534067213220637,0.12031255570638233,0.002348060077451543,1.1470705198605187,12.12297228089395,228.32332095765386,0.1766419432905909,0.10258615452993014,0.1724340833254597,0.048255260246177226,1.0346732281685198,0.15377033507428417,0.40082799366955735,0.01816435341718761,0.11151617751061615,0.25724006984830083,0.06039751883609534,1.1043164433301542
ElasticNet,sqrt,0.1533675193786621,0.0033998489379882812,0.004237174987792969,0.010742,6686,1672,33,0.18101753711551893,1.03852033845984,0.3997200525634392,170.2329341158285,25.37278632038078,0.2364574735448946,0.18101753711551893,-2.7631036688247987e-17,1.03852033845984,12.192109575148308,237.84851352961152,0.11883908133291332,1.1480307881110257,0.4304753493586297,170.28103812428546,27.193149460162296,0.24782804842524436,0.1188405722440874,0.0014933163032927663,1.148029816885102,12.102585151394518,228.34836232033595,0.1769546355407764,0.10108675513266063,0.1715651470184863,0.04869601005837845,1.0351667638242934,0.1535687643443942,0.4033375008853678,0.01827926833520052,0.10878303604802542,0.25622963989032577,0.06217845578260561,1.1054485362347823
SVR,sqrt,2.4950709342956543,0.4257018566131592,0.1075887680053711,0.017041,6686,1672,33,0.6193300237764854,0.708030583644753,0.11134600730237383,131.7232025687063,24.20910130103787,0.052198722080503426,0.6194453426327269,0.012323324038039023,0.7079233313438562,21.55500159516528,671.7262160758819,0.5045673286621281,0.8608316834130918,0.1518756667605392,135.17879582106542,25.370296786601845,0.054581888197755196,0.505121393929858,0.028787661345271595,0.8603501948172544,19.696307264692244,522.1127360204824,0.6174415527579382,0.4945860843677754,0.593042246600082,0.1099754412198325,0.7264543514218635,0.1774848472872547,0.139656444323288,0.013363413652436864,0.4576714721328581,0.7907732563494279,0.11476269511435733,1.2158114397547324
