feature_name,feature_type,train_mean,train_std,train_min,train_max,train_missing
log1p_feature_attribute_density,engineered,0.01860838669356279,0.031499061224313826,0.0,0.1698990367953974,0
sqrt_feature_attribute_density,original,0.07900307779734123,0.11427307181749821,0.0,0.4303314829119351,0
log1p_feature_unique_variables,engineered,1.617883584044912,0.4035707255909607,0.0,3.1780538303479458,0
sqrt_feature_unique_variables,original,2.0476441763669353,0.5139238735769237,0.0,4.795831523312719,0
log1p_feature_unique_operators,engineered,0.7776370709755155,0.5474525882728705,0.0,2.302585092994046,0
sqrt_feature_unique_operators,original,1.0282242590711514,0.6829759204340543,0.0,3.0,0
log1p_feature_avg_branching_factor,engineered,0.6735809603815734,0.013441818598929884,0.5108256237659907,0.6922772370514052,0
sqrt_feature_avg_branching_factor,original,0.9804298323679781,0.013453399050447805,0.816496580927726,0.9991300563816592,0
log1p_feature_max_branching_factor,engineered,1.5724716312382885,0.24542035266275794,1.0986122886681096,3.9889840465642745,0
sqrt_feature_max_branching_factor,original,1.9690575946663744,0.3295749387071588,1.4142135623730951,7.280109889280518,0
inv_feature_max_branching_factor,engineered,0.27540987632915137,0.07458278865061904,0.01886756853644271,0.49975012493753124,0
log1p_feature_loops_count,engineered,0.5166995266685208,0.42123928965540774,0.0,2.302585092994046,0
sqrt_feature_loops_count,original,0.7156442266601336,0.5637765908711884,0.0,3.0,0
log1p_feature_conditionals_count,engineered,0.44237938775047403,0.4439395457779366,0.0,2.5649493574615367,0
sqrt_feature_conditionals_count,original,0.6117546544216931,0.5941381871144791,0.0,3.4641016151377544,0
inv_feature_conditionals_count,engineered,458.8893343913947,497.87415155774534,0.08332638946754438,1000.0,0
log1p_feature_try_blocks_count,engineered,0.002030401067715693,0.0383417299449424,0.0,1.0986122886681096,0
sqrt_feature_try_blocks_count,original,0.0029037112716681266,0.05461995811851988,0.0,1.4142135623730951,0
inv_feature_try_blocks_count,engineered,997.1610053497019,53.18454942474493,0.49975012493753124,1000.0,0
log1p_feature_vocabulary_size,engineered,2.1017491622767754,0.4564975682242496,0.0,4.110873864173311,0
sqrt_feature_vocabulary_size,original,2.746051674432025,0.7008075848176216,0.0,7.745966692414834,0
log1p_feature_program_length,engineered,2.547585855432217,0.6838269928102796,0.0,5.262690188904886,0
sqrt_feature_program_length,original,3.6391468600265977,1.4193710268043562,0.0,13.856406460551018,0
inv_feature_program_length,engineered,0.566193217658878,21.177162947315516,0.005208306206738507,1000.0,0
log1p_feature_program_volume,engineered,3.482753414999277,1.0136311637854105,0.0,6.923429027532102,0
sqrt_feature_program_volume,original,6.322089353314043,3.2344021457573384,0.0,31.85588212593636,0
inv_feature_program_volume,engineered,12.466208433216464,110.72684900885132,0.0009854175681016243,1000.0,0
log1p_feature_program_difficulty,engineered,0.7762876150462368,0.6461602275931234,0.0,3.283414346005772,0
sqrt_feature_program_difficulty,original,1.045167029176854,0.8129435843242913,0.0,5.066228051190222,0
inv_feature_program_difficulty,engineered,242.19093647666548,427.6928767025071,0.03895952105762113,1000.0,0
log1p_feature_program_effort,engineered,3.21771669925545,2.2667759262502334,0.0,10.050944129333788,0
sqrt_feature_program_effort,original,8.706916442637217,11.181254644201543,0.0,152.23882299386293,0
inv_feature_program_effort,engineered,241.58210138230714,428.03621674603255,4.31468550785484e-05,1000.0,0
block_For,engineered,0.29733772061023034,0.4571206118369334,0.0,1.0,0
block_FunctionDef,engineered,0.5326054442117858,0.4989730685474434,0.0,1.0,0
block_If,engineered,0.16183069099611128,0.3683229681637022,0.0,1.0,0
block_Try,engineered,0.0011965300628178283,0.03457278050370386,0.0,1.0,0
block_While,engineered,0.004935686509123542,0.0700860912468915,0.0,1.0,0
block_With,engineered,0.0020939276099311995,0.04571493901324201,0.0,1.0,0
block_For_x_feature_program_effort,engineered,45.2039142002636,214.98063457549736,0.0,6752.48861374556,0
block_For_x_feature_program_volume,engineered,14.296940129836308,33.19776478718066,0.0,367.3638880654258,0
block_For_x_feature_total_nodes,engineered,11.32620400837571,23.141021766886553,0.0,184.0,0
block_FunctionDef_x_feature_program_effort,engineered,129.04389900235594,711.8806191879333,0.0,23176.65922655673,0
block_FunctionDef_x_feature_program_volume,engineered,28.6342804135698,55.217758689227,0.0,1014.7972260215518,0
block_FunctionDef_x_feature_total_nodes,engineered,24.117559078671853,35.57196209719325,0.0,575.0,0
block_If_x_feature_program_effort,engineered,21.105540607090784,148.92386125897917,0.0,4952.942051099825,0
block_If_x_feature_program_volume,engineered,6.80347438455664,22.802642758721863,0.0,379.0516875841703,0
block_If_x_feature_total_nodes,engineered,4.93897696679629,14.772374622834851,0.0,203.0,0
block_Try_x_feature_program_effort,engineered,0.06745653726695447,4.2504047593640255,0.0,337.4132787116448,0
