,feature_total_nodes,feature_unique_node_types,feature_max_depth,feature_avg_depth,feature_depth_variance,feature_cyclomatic_complexity,feature_cognitive_complexity,feature_nesting_complexity,feature_control_flow_complexity,feature_operator_density,feature_literal_density,feature_call_density,feature_variable_density,feature_attribute_density,feature_node_type_entropy,feature_operator_entropy,feature_variable_entropy,feature_unique_variables,feature_unique_operators,feature_unique_functions,feature_avg_branching_factor,feature_max_branching_factor,feature_leaves_to_nodes_ratio,feature_loops_count,feature_conditionals_count,feature_functions_count,feature_classes_count,feature_try_blocks_count,feature_vocabulary_size,feature_program_length,feature_program_volume,feature_program_difficulty,feature_program_effort
2339,18,10,5,2.611111111111111,1.7810457516339868,1,0,0,0,0.0,0.0,0.0555555555555555,0.2222222222222222,0.1111111111111111,2.9693894195291564,0.0,1.5,3,0,1,0.9444444444444444,3,0.3888888888888889,0,0,1,0,0,3,4,6.339850002884624,0.0,0.0
334,37,17,7,3.5135135135135136,3.3123123123123124,3,2,2,2,0.027027027027027,0.054054054054054,0.054054054054054,0.2162162162162162,0.054054054054054,3.519471608521361,0.0,1.75,4,1,1,0.972972972972973,4,0.4054054054054054,1,1,1,0,0,7,11,30.880904142633646,0.8333333333333334,25.73408678552804
1984,22,12,5,2.6818181818181817,1.5606060606060606,1,0,0,0,0.1363636363636363,0.0909090909090909,0.0,0.1818181818181818,0.0,3.3908054820769817,0.9182958340544896,1.5,3,2,0,0.9545454545454546,3,0.5,0,0,1,0,0,7,9,25.26619429851844,1.2,30.319433158222125
5807,80,17,8,5.1125,3.468196202531645,4,4,3,3,0.05,0.0375,0.0375,0.275,0.0,3.1338871750259507,0.8112781244591328,2.2025459616189687,6,2,2,0.9875,4,0.45,2,1,1,0,0,9,29,91.92782504182703,3.571428571428572,328.3136608636681
2419,20,10,5,2.8,2.168421052631579,2,1,1,1,0.0,0.0,0.1,0.25,0.05,2.9609640474436816,0.0,1.521928094887362,3,0,2,0.95,3,0.35,1,0,1,0,0,3,5,7.92481250360578,0.0,0.0
7126,45,15,7,3.933333333333333,3.4272727272727272,1,0,0,0,0.0444444444444444,0.0444444444444444,0.0666666666666666,0.2222222222222222,0.0888888888888888,3.3411241239249896,0.0,2.721928094887362,7,1,3,0.9777777777777776,4,0.4222222222222222,0,0,1,0,0,10,14,46.50699332842307,0.6666666666666666,31.00466221894872
1707,101,20,7,3.663366336633664,2.6255445544554457,3,2,2,2,0.0297029702970297,0.0594059405940594,0.0495049504950495,0.2871287128712871,0.0099009900990099,3.2828297527512853,0.9182958340544896,3.328169685589631,11,2,2,0.99009900990099,7,0.4455445544554455,1,1,1,0,0,19,38,161.42124551085624,2.0588235294117645,332.337858404704
3421,30,16,6,2.966666666666667,2.171264367816092,2,1,1,1,0.0333333333333333,0.0333333333333333,0.0666666666666666,0.2333333333333333,0.0333333333333333,3.463458298648304,0.0,1.8423709931771088,4,1,2,0.9666666666666668,4,0.4,1,0,1,0,0,6,9,23.264662506490403,0.8,18.611730005192324
6143,26,11,6,2.9615384615384617,2.1184615384615384,3,2,2,2,0.0384615384615384,0.0769230769230769,0.1153846153846153,0.2692307692307692,0.0384615384615384,2.928983702334556,0.0,2.1280852788913944,5,1,3,0.9615384615384616,3,0.4230769230769231,1,1,0,0,0,8,10,30.0,0.6428571428571429,19.28571428571429
5504,72,18,8,4.472222222222222,3.773865414710485,5,7,4,4,0.0555555555555555,0.0972222222222222,0.0277777777777777,0.2638888888888889,0.0,3.432466473265142,1.5,2.4842551447948,7,3,2,0.9861111111111112,5,0.4444444444444444,1,3,1,0,0,14,30,114.22064766172812,3.5454545454545454,404.9641144370361
5890,25,10,5,2.88,1.6933333333333334,3,2,2,2,0.04,0.0,0.08,0.32,0.0,2.643856189774724,0.0,2.1556390622295662,5,1,2,0.96,3,0.4,1,1,0,0,0,6,9,23.264662506490403,0.8,18.611730005192324
1926,25,12,6,3.08,2.41,1,0,0,0,0.08,0.04,0.08,0.24,0.0,3.2390795706241744,0.0,2.2516291673878226,5,1,2,0.96,3,0.44,0,0,1,0,0,7,9,25.26619429851844,0.5833333333333334,14.738613340802424
5488,35,18,5,2.657142857142857,1.408403361344538,2,1,1,1,0.0285714285714285,0.1142857142857142,0.0285714285714285,0.2,0.0,3.7246756038383886,0.0,1.8423709931771084,4,1,1,0.9714285714285714,5,0.4285714285714285,0,1,1,0,0,9,12,38.03910001730775,0.6875,26.151881261899074
3171,46,18,6,3.282608695652174,2.0294685990338164,2,1,1,1,0.0434782608695652,0.0652173913043478,0.0217391304347826,0.2608695652173913,0.0217391304347826,3.465555640830959,1.0,2.5220552088742005,6,2,1,0.9782608695652174,5,0.4565217391304347,1,0,1,0,0,11,17,58.81033751683405,1.6666666666666667,98.01722919472344
2633,44,15,7,4.113636363636363,3.172832980972516,1,0,0,0,0.0454545454545454,0.0454545454545454,0.0681818181818181,0.2045454545454545,0.1136363636363636,3.279581550495594,0.0,2.4193819456463714,6,1,3,0.9772727272727272,3,0.4318181818181818,0,0,1,0,0,9,13,41.20902501875005,0.6875,28.331204700390664
270,23,13,5,2.652173913043478,1.5098814229249011,3,2,2,2,0.0869565217391304,0.1739130434782608,0.0434782608695652,0.217391304347826,0.0,3.377278130987436,1.0,1.3709505944546687,3,2,1,0.9565217391304348,3,0.5217391304347826,1,1,0,0,0,9,11,34.86917501586544,1.2857142857142858,44.831796448969854
6672,20,13,5,2.85,2.028947368421053,1,0,0,0,0.05,0.05,0.05,0.15,0.05,3.403701696057348,0.0,0.9182958340544896,2,1,1,0.95,3,0.45,0,0,1,0,0,4,5,10.0,0.6666666666666666,6.666666666666666
2549,23,11,5,2.8260869565217392,1.7865612648221345,2,1,1,1,0.0869565217391304,0.1304347826086956,0.0869565217391304,0.217391304347826,0.0434782608695652,3.1333807190554004,1.0,1.9219280948873625,4,2,2,0.9565217391304348,3,0.4782608695652174,1,0,0,0,0,8,10,30.0,1.3333333333333333,40.0
3177,17,11,4,2.411764705882353,1.5073529411764706,2,1,1,1,0.0,0.0588235294117647,0.0588235294117647,0.2352941176470588,0.0,3.1462863706621045,0.0,1.5,3,0,1,0.9411764705882352,3,0.4117647058823529,1,0,0,0,0,4,5,10.0,0.0,0.0
563,88,18,9,5.443181818181818,4.594435736677116,4,4,3,3,0.0681818181818181,0.0568181818181818,0.034090909090909,0.25,0.0,3.278804327851131,1.4591479170272448,2.274983599956846,6,3,2,0.9886363636363636,3,0.4772727272727273,2,1,1,0,0,11,33,114.1612434150308,5.0625,577.9412947885935
5484,25,9,5,2.72,1.7933333333333332,2,1,1,1,0.0,0.04,0.12,0.28,0.08,2.7215419333359274,0.0,2.5216406363433186,6,0,3,0.96,4,0.4,1,0,0,0,0,7,8,22.45883937646084,0.0,0.0
1519,203,20,6,3.674876847290641,1.725454811491001,6,6,3,3,0.0394088669950738,0.0492610837438423,0.0394088669950738,0.2807881773399014,0.0,3.2407500707575547,1.75,3.06854560337006,9,4,2,0.9950738916256158,10,0.4630541871921182,3,2,0,0,0,16,75,300.0,11.166666666666666,3350.0
5609,24,10,5,2.7916666666666665,1.6503623188405796,2,1,1,1,0.1666666666666666,0.0416666666666666,0.0,0.25,0.0,2.9276942711037672,1.5,1.0,2,3,0,0.9583333333333334,3,0.4583333333333333,0,1,0,0,0,6,11,28.43458750793272,3.5,99.52105627776452
